,Method,ATE,CI
0,IPW,0.18332096761895517,"[0.17, 0.194]"
1,S-learner,0.32473867595818817,"[0.302, 0.333]"
2,T-learner,0.3352549889135255,"[0.315, 0.343]"
3,Matching,0.19383346425765907,"[0.17, 0.228]"
4,Doubly Robust,0.3358251504592968,"[0.317, 0.344]"
