iter	Logloss
468	0.6142285627
469	0.6142075423
470	0.614171618
471	0.6141376864
472	0.6141172063
473	0.6140887613
474	0.614069845
475	0.6140642679
476	0.6140286437
477	0.6140234573
478	0.6140069533
479	0.6139819192
480	0.6139575305
481	0.6139354137
482	0.6139262604
483	0.6139052571
484	0.6138915172
485	0.6138501824
486	0.6138267097
487	0.6137997454
488	0.613775687
489	0.6137519032
490	0.613734373
491	0.6137014527
492	0.6136850277
493	0.6136543762
494	0.6136344359
495	0.6135999772
496	0.6135881283
497	0.6135581234
498	0.6135361232
499	0.6135032131
500	0.6134793385
501	0.6134392377
502	0.613389846
503	0.6133875655
504	0.6133590007
505	0.6133414966
506	0.6133223473
507	0.613305374
508	0.6132773728
509	0.6132659513
510	0.6132423148
511	0.6132255227
512	0.6131978107
513	0.6131885268
514	0.6131744068
515	0.6131581594
516	0.6131395013
517	0.6131002945
518	0.6130891597
519	0.6130692274
520	0.6130456064
521	0.6130234318
522	0.6129993618
523	0.6129885622
524	0.6129717471
525	0.6129284913
526	0.6129173645
527	0.612875269
528	0.6128641045
529	0.6128585698
530	0.6128492744
531	0.6128321238
532	0.6127971589
533	0.6127761042
534	0.6127439643
535	0.6127101196
536	0.6126797217
537	0.6126634854
538	0.6126432384
539	0.6126202581
540	0.6125789251
541	0.6125715918
542	0.6125371815
543	0.6125011405
544	0.6124885805
545	0.6124379918
546	0.6123938619
547	0.6123634085
548	0.6123448991
549	0.6123209636
550	0.6122827428
551	0.6122749667
552	0.6122440864
553	0.612214872
554	0.6121920667
555	0.6121616023
556	0.6121313522
557	0.6121021763
558	0.6120652789
559	0.6120263819
560	0.6120076065
561	0.6119776812
562	0.6119532334
563	0.611911235
564	0.611890063
565	0.6118652267
566	0.6118352757
567	0.611812952
568	0.6117741642
569	0.6117384252
570	0.6117179817
571	0.6116737376
572	0.6116480509
573	0.6116283837
574	0.6116020283
575	0.6115849992
576	0.6115619166
577	0.6115401619
578	0.61152552
579	0.6114978383
580	0.6114747671
581	0.6114435518
582	0.6114151074
583	0.6113967434
584	0.6113573377
585	0.6113393861
586	0.6113104842
587	0.6112911399
588	0.6112710177
589	0.6112304922
590	0.6112141803
591	0.6111833949
592	0.6111541969
593	0.6111328614
594	0.6111027953
595	0.6110688778
596	0.6110423443
597	0.6110272314
598	0.6110034564
599	0.6109703214
600	0.6109322383
601	0.61088899
602	0.6108549827
603	0.6108164689
604	0.6107691138
605	0.6107280064
606	0.6106978191
607	0.610660514
608	0.6106264862
609	0.610609876
610	0.6105817907
611	0.6105529892
612	0.6105407515
613	0.6105191304
614	0.6104906627
615	0.6104510456
616	0.6104446229
617	0.610432353
618	0.6104138013
619	0.6103730861
620	0.6103410045
621	0.6103067551
622	0.6102863481
623	0.610262989
624	0.6102578577
625	0.6102453546
626	0.6102177559
627	0.6101894578
628	0.6101767833
629	0.6101535257
630	0.6101317493
631	0.6101088282
632	0.6100850926
633	0.6100624781
634	0.6100385339
635	0.6100148288
636	0.6099722401
637	0.6099350758
638	0.6099153772
639	0.6099066205
640	0.6098770169
641	0.6098715847
642	0.6098396673
643	0.6098213548
644	0.6097958084
645	0.6097846444
646	0.6097450754
647	0.6097152948
648	0.6096932125
649	0.6096651861
650	0.6096315848
651	0.6096054739
652	0.6095920727
653	0.6095592564
654	0.6095243077
655	0.6094935742
656	0.6094694132
657	0.6094323972
658	0.6094097886
659	0.6093875234
660	0.6093650347
661	0.609342529
662	0.6093107583
663	0.6092844101
664	0.6092683454
665	0.6092416687
666	0.6092025416
667	0.6091825848
668	0.609155499
669	0.6091411433
670	0.6091212991
671	0.60910103
672	0.6090816921
673	0.609056314
674	0.6090287702
675	0.6089819427
676	0.6089553871
677	0.6089474397
678	0.6089258246
679	0.6089008291
680	0.6088763532
681	0.6088640888
682	0.6088414811
683	0.6088234294
684	0.6087921941
685	0.6087631208
686	0.6087253713
687	0.6087034233
688	0.6086835965
689	0.6086420837
690	0.608620029
691	0.6085881131
692	0.6085501094
693	0.6085196755
694	0.6084893784
695	0.6084509621
696	0.6084263333
697	0.6083984715
698	0.6083861213
699	0.608352058
700	0.6083472042
701	0.6083273641
702	0.6083130081
703	0.6082945987
704	0.608267262
705	0.608234306
706	0.6082047043
707	0.608186093
708	0.6081736838
709	0.608135127
710	0.6081110771
711	0.6080849662
712	0.6080663526
713	0.6080343998
714	0.6080159888
715	0.6079974298
716	0.607968824
717	0.6079385739
718	0.6079162658
719	0.607873728
720	0.607836422
721	0.6078107135
722	0.6077856531
723	0.607768443
724	0.6077532213
725	0.6077233597
726	0.6076977922
727	0.6076702077
728	0.6076466505
729	0.6076386836
730	0.6076105322
731	0.6075925504
732	0.6075549868
733	0.607527336
734	0.607499941
735	0.6074831766
736	0.6074715198
737	0.6074305873
738	0.607411717
739	0.6073895045
740	0.6073818366
741	0.6073506462
742	0.6073298534
743	0.6073189879
744	0.6072811593
745	0.6072598611
746	0.6072364637
747	0.6072010512
748	0.6071659525
749	0.6071498212
750	0.6071298077
751	0.6071066518
752	0.6070779524
753	0.6070588084
754	0.6070444822
755	0.6070348776
756	0.6070175703
757	0.6069862211
758	0.6069636266
759	0.6069386905
760	0.6069072901
761	0.6068884851
762	0.6068429527
763	0.6068082444
764	0.6067874872
765	0.6067511647
766	0.6067195272
767	0.6066911906
768	0.6066514441
769	0.6066282014
770	0.6066114941
771	0.6065786014
772	0.6065576056
773	0.6065342162
774	0.6064923922
775	0.6064488049
776	0.6064309909
777	0.6063990123
778	0.6063784079
779	0.6063614779
780	0.6063518594
781	0.6063211021
782	0.6063075816
783	0.6062630059
784	0.6062244796
785	0.6061967756
786	0.6061629516
787	0.6061525948
788	0.6061330635
789	0.6061163225
790	0.606097482
791	0.6060678895
792	0.6060656364
793	0.6060487619
794	0.6060194965
795	0.6060073004
796	0.605995312
797	0.6059567954
798	0.6059386901
799	0.6059222721
800	0.6059029376
801	0.605885068
802	0.6058784566
803	0.6058686849
804	0.6058489388
805	0.6058250545
806	0.6058085723
807	0.6057859576
808	0.6057443971
809	0.6057204365
810	0.6056916769
811	0.6056748112
812	0.6056496623
813	0.6056274671
814	0.6056007056
815	0.6055922471
816	0.6055794838
817	0.6055434932
818	0.6055206471
819	0.6054903653
820	0.6054711891
821	0.6054513238
822	0.6054194176
823	0.6053877341
824	0.6053681066
825	0.6053492921
826	0.60531957
827	0.6052887905
828	0.6052570642
829	0.6052301531
830	0.6051976668
831	0.6051819743
832	0.6051622885
833	0.6051292819
834	0.6051090457
835	0.6050873492
836	0.6050598786
837	0.6050338736
838	0.6050276539
839	0.605001496
840	0.604970758
841	0.604957547
842	0.6049283796
843	0.6049250264
844	0.6049014928
845	0.6048747787
846	0.6048619341
847	0.6048363595
848	0.6048124191
849	0.6048016338
850	0.6047908873
851	0.6047611696
852	0.6047295216
853	0.60471049
854	0.6046788558
855	0.6046541373
856	0.6046284717
857	0.6046011217
858	0.6045666554
859	0.6045517737
860	0.6045184846
861	0.6045137773
862	0.6044831206
863	0.6044534104
864	0.6044294208
865	0.604415048
866	0.6043929166
867	0.6043903949
868	0.6043746786
869	0.604350838
870	0.6043232837
871	0.6043111981
872	0.6042903957
873	0.6042849283
874	0.6042541021
875	0.6042397848
876	0.6042200843
877	0.604201495
878	0.604167184
879	0.6041389564
880	0.6041164164
881	0.6041122966
882	0.6041067798
883	0.6040863023
884	0.6040623349
885	0.6040420209
886	0.6040286055
887	0.6040060519
888	0.6039831195
889	0.603967901
890	0.6039542172
891	0.603929663
892	0.6039125874
893	0.6038933211
894	0.6038782344
895	0.6038649867
896	0.6038458233
897	0.6038345923
898	0.6038091019
899	0.6037883212
900	0.6037602029
901	0.603731588
902	0.6037123862
903	0.6036955707
904	0.6036790587
905	0.6036493334
906	0.6036322779
907	0.6036212396
908	0.6035986493
909	0.6035818262
910	0.6035721826
911	0.6035428422
912	0.60353053
913	0.6035149322
914	0.6034935328
915	0.6034703395
916	0.6034560839
917	0.6034269091
918	0.6034060198
919	0.6033739995
920	0.603357461
921	0.6033264665
922	0.6033189549
923	0.6033016198
924	0.6032839656
925	0.6032673448
926	0.6032343232
927	0.6032105365
928	0.6031812942
929	0.6031602098
930	0.603135521
931	0.60311066
932	0.603073217
933	0.6030306995
934	0.6030148698
935	0.6029869232
936	0.6029590428
937	0.6029243711
938	0.6028995156
939	0.6028772052
940	0.6028606937
941	0.6028484934
942	0.6028367949
943	0.6028106683
944	0.6027952446
945	0.6027623803
946	0.6027473598
947	0.6027336592
948	0.6027018898
949	0.6026795668
950	0.6026629298
951	0.6026279992
952	0.6026092698
953	0.6025854612
954	0.6025661854
955	0.6025584385
956	0.6025376122
957	0.6025160456
958	0.6025042776
959	0.6024817823
960	0.6024731454
961	0.6024628262
962	0.602447802
963	0.602425044
964	0.6024096191
965	0.6023926173
966	0.6023762966
967	0.6023687315
968	0.602355472
969	0.6023281781
970	0.6023181502
971	0.6022930541
972	0.6022825844
973	0.6022618455
974	0.6022357248
975	0.6022066045
976	0.6021859203
977	0.6021627508
978	0.602137333
979	0.60212038
980	0.6021008453
981	0.6020713779
982	0.6020435638
983	0.6020186455
984	0.6020058816
985	0.601971328
986	0.6019432931
987	0.6019271818
988	0.6018944532
989	0.6018717365
990	0.6018540594
991	0.6018328209
992	0.6018165919
993	0.6017950982
994	0.6017700739
995	0.6017656838
996	0.6017540271
997	0.60173608
998	0.6017208489
999	0.6016944498
