,Method,ATE,CI
0,IPW,0.2509688567497983,"[0.246, 0.256]"
1,S-learner,0.35134387215054136,"[0.341, 0.369]"
2,T-learner,0.3556850807706943,"[0.344, 0.373]"
3,Matching,0.25788572244160046,"[0.248, 0.266]"
4,Doubly Robust,0.19844905468414284,"[0.177, 0.2]"
