,Method,ATE,CI
0,IPW,0.18323952922465211,"[0.171, 0.197]"
1,S-learner,0.10484637313905606,"[0.086, 0.12]"
2,T-learner,0.10748600992503432,"[0.087, 0.129]"
3,Matching,0.20504731861198738,"[0.169, 0.228]"
4,Doubly Robust,0.18211687135816224,"[0.153, 0.205]"
