,Court,Surface,round,Best of,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,hand_player1,height_player1,hand_player2,height_player2,age_player1,age_player2,T,Y
9886,Outdoor,Hard,3,3,96,90,598,620,2.2,1.66,R,183.0,R,196.0,28,27,1,1
9887,Outdoor,Hard,4,3,107,90,520,620,2.37,1.57,L,198.0,R,196.0,26,27,0,0
9888,Outdoor,Clay,1,3,175,142,286,379,2.78,1.42,R,178.0,R,185.0,26,22,1,1
9889,Outdoor,Clay,2,3,129,145,405,373,1.33,3.25,R,183.0,R,180.0,27,31,1,1
9890,Outdoor,Clay,2,3,23,142,1596,379,1.44,2.62,R,180.0,R,185.0,29,22,0,1
9891,Outdoor,Clay,2,3,35,69,1265,807,2.0,1.72,R,188.0,R,180.0,24,26,0,1
9892,Outdoor,Clay,2,3,134,27,392,1560,2.62,1.44,L,183.0,L,185.0,29,29,1,0
9893,Outdoor,Clay,3,3,145,92,373,634,3.5,1.3,R,180.0,L,183.0,31,25,0,1
9894,Indoor,Hard,1,3,53,75,923,745,1.72,2.0,R,188.0,R,188.0,28,30,0,0
9895,Indoor,Hard,1,3,131,120,400,445,3.4,1.3,R,178.0,R,203.0,30,33,0,1
9896,Indoor,Hard,2,3,98,75,601,745,2.37,1.53,R,190.0,R,188.0,35,30,0,1
9897,Indoor,Hard,2,3,32,84,1305,672,1.18,4.5,R,196.0,R,180.0,29,22,1,1
9898,Indoor,Hard,2,3,63,18,843,1940,2.5,1.5,R,183.0,R,206.0,25,34,0,0
9899,Indoor,Hard,3,3,98,63,601,843,2.1,1.72,R,190.0,R,183.0,35,25,1,0
9900,Indoor,Hard,1,3,29,6,1433,4745,3.0,1.36,R,196.0,R,193.0,23,21,0,1
9901,Indoor,Hard,1,3,67,57,816,890,1.8,1.9,R,183.0,R,183.0,32,35,1,0
9902,Indoor,Hard,2,3,79,10,710,2600,3.0,1.36,R,188.0,R,180.0,18,29,0,1
9903,Indoor,Hard,3,3,33,9,1296,2860,2.75,1.44,R,175.0,R,193.0,29,33,1,0
9904,Indoor,Hard,3,3,39,15,1158,2174,3.4,1.33,R,185.0,R,188.0,27,22,0,1
9905,Indoor,Hard,4,3,30,21,1332,1666,2.5,1.53,R,188.0,R,193.0,28,19,1,1
9906,Outdoor,Hard,1,3,294,74,139,760,2.0,1.72,R,185.0,L,198.0,18,26,0,0
9907,Outdoor,Hard,1,3,148,84,363,700,3.5,1.28,R,185.0,R,188.0,28,22,1,1
9908,Outdoor,Hard,1,3,76,134,745,400,1.36,3.0,R,188.0,R,185.0,30,27,0,1
9909,Outdoor,Hard,1,3,44,367,1086,97,1.2,4.33,L,188.0,R,183.0,21,22,1,0
9910,Outdoor,Hard,1,3,224,54,209,947,2.2,1.61,R,190.0,R,211.0,31,22,0,1
9911,Outdoor,Hard,2,3,76,37,745,1260,3.5,1.3,R,188.0,R,196.0,30,29,1,1
9912,Indoor,Hard,1,3,101,98,576,597,2.75,1.4,R,188.0,R,193.0,20,29,1,1
9913,Indoor,Hard,1,3,72,95,764,609,1.66,2.1,R,196.0,R,183.0,27,26,0,1
9914,Indoor,Hard,1,3,69,79,791,715,2.25,1.57,R,183.0,R,188.0,32,28,1,0
9915,Indoor,Hard,1,3,18,85,1921,684,1.28,3.5,R,193.0,R,185.0,19,28,1,0
9916,Indoor,Hard,2,3,58,47,890,1010,2.37,1.53,R,183.0,R,181.0,35,30,0,0
9918,Outdoor,Clay,1,3,61,32,881,1320,1.8,1.9,R,180.0,R,188.0,26,23,1,1
9919,Outdoor,Clay,1,3,169,127,292,422,1.72,2.0,R,178.0,R,180.0,26,27,0,1
